,FID,id,trkEmp,POINT_X,POINT_Y
0,0,261635243003001,2.0,-83.12951340249998,42.3020390481
1,1,261635242005000,31.0,-83.13088741119999,42.3095150802
2,2,261635242005005,5.0,-83.13219819939998,42.3079169274
3,3,261635242005006,15.0,-83.1330721437,42.3075658313
4,4,261635234002000,13.0,-83.0910048796,42.3241320793
5,5,261635234002003,41.0,-83.0964101146,42.3219002426
6,6,261635234002004,0.0,-83.0954787744,42.3222594953
7,7,261635234002008,0.0,-83.0941274332,42.3219713946
8,8,261635242003004,0.0,-83.1276679196,42.3048225379
9,9,261635242003005,0.0,-83.12487947159998,42.3058771119
10,10,261635238002000,19.0,-83.109980608,42.3145319638
11,11,261635238002001,2.0,-83.11185131099998,42.3149175035
12,12,261635238002008,0.0,-83.1134205208,42.3126215419
13,13,261635238002011,0.0,-83.11457336709998,42.3109394738
14,14,261635233002000,0.0,-83.095629093,42.3187864869
15,15,261635233002001,21.0,-83.0968817884,42.3182816902
16,16,261635233002002,10.0,-83.09805192729999,42.3178064211
17,17,261635233002003,41.0,-83.09921991819999,42.3173343133
18,18,261635233002004,0.0,-83.1003894056,42.3168623465
19,19,261635233002005,0.0,-83.0990179213,42.3149481477
20,20,261635257003002,1.0,-83.1238405033,42.3301796146
21,21,261635257003003,4.0,-83.1255497625,42.3298870883
22,22,261635257003004,0.0,-83.12808185529998,42.330504778299996
23,23,261635257003005,7.0,-83.1294702182,42.3302557696
24,24,261635257003006,0.0,-83.1305275797,42.3300549551
25,25,261635257003010,0.0,-83.1240241702,42.3278523441
26,26,261635238004000,5.0,-83.107654247,42.3108881808
27,27,261635238004008,3.0,-83.1089643272,42.3065361221
28,28,261635238004009,0.0,-83.1098593407,42.307742541399996
29,29,261635238004010,1.0,-83.1087078755,42.308201701
30,30,261635238004018,2.0,-83.1098271938,42.305559028299996
31,31,261635233001003,4.0,-83.10120300129998,42.320091566500004
32,32,261635233001004,0.0,-83.10293244589998,42.320392583200004
33,33,261635233001005,0.0,-83.10181123709998,42.318837412
34,34,261635257002003,39.0,-83.1352856392,42.3303936371
35,35,261635241004000,34.0,-83.12560173439999,42.3133186698
36,36,261635241004002,4.0,-83.127667897,42.3124717417
37,37,261635241004003,0.0,-83.1286257795,42.3120839158
38,38,261635241004004,0.0,-83.1295428561,42.3117083704
39,39,261635241004005,0.0,-83.1304190618,42.311362022800004
40,40,261635255002003,0.0,-83.11418406759998,42.333745242
41,41,261635255002006,3.0,-83.1171140748,42.3324837327
42,42,261635255002008,6.0,-83.12013717579998,42.3319213888
43,43,261635255002009,7.0,-83.11379284,42.3316769856
44,44,261635255002011,0.0,-83.11179926379998,42.3320227583
45,45,261635255002012,3.0,-83.11079799789998,42.3322030843
46,46,261635255002013,1.0,-83.1096907312,42.3323981963
47,47,261635238003000,18.0,-83.11566507899998,42.312397349099996
48,48,261635241002000,3.0,-83.1314576901,42.3159886359
49,49,261635241002001,1.0,-83.13222777209998,42.3154759882
50,50,261635221001004,2.0,-83.1074722654,42.3457451549
51,51,261635221001012,0.0,-83.1050571385,42.3444482648
52,52,261635221001022,6.0,-83.1014642163,42.3415758139
53,53,261635221001026,0.0,-83.1012837598,42.3365865312
54,54,261635245001001,11.0,-83.14230810489998,42.2859655877
55,55,261635245001005,3.0,-83.14441282609998,42.2892818344
56,56,261635245001009,2.0,-83.1467043156,42.2893055549
57,57,261635245001012,0.0,-83.1516016205,42.2873033582
58,58,261635245001015,52.0,-83.1487789795,42.285397500100004
59,59,261635245001023,39.0,-83.14401936819999,42.2830615067
60,60,261635245001026,24.0,-83.1468135143,42.2843486819
61,61,261635245001028,6.0,-83.14065077649998,42.2822562119
62,62,261635256002001,0.0,-83.10506150819998,42.3288056791
63,63,261635256002002,0.0,-83.1077983026,42.3306057991
64,64,261635256002003,0.0,-83.1100055664,42.3306594129
65,65,261635256002004,7.0,-83.10921443639998,42.3297950798
66,66,261635256002007,0.0,-83.1105000253,42.3271299876
67,67,261635256002008,5.0,-83.1080666783,42.3281989586
68,68,261635243001002,6.0,-83.12463533499998,42.3020411127
69,69,261635243001003,2.0,-83.12478566929998,42.302929913
70,70,261635243001005,32.0,-83.1243011688,42.3050533186
71,71,261635232001003,11.0,-83.10824991059998,42.3163627209
72,72,261635232001004,96.0,-83.10682236309998,42.3167649509
73,73,261635232001006,5.0,-83.10911873509998,42.3159164754
74,74,261635232001011,3.0,-83.1072476245,42.315078430300005
75,75,261635240003000,32.0,-83.12257378379998,42.3129187535
76,76,261635240003002,0.0,-83.12162926429998,42.3116127284
77,77,261635240003003,0.0,-83.1211247103,42.310930538600005
78,78,261635231001000,0.0,-83.0972871496,42.3332047661
79,79,261635231001002,32.0,-83.09956116559998,42.3324054764
80,80,261635231001005,0.0,-83.10080691729999,42.3321786017
81,81,261635231001013,28.0,-83.09513329819998,42.3298667644
82,82,261635231001016,113.0,-83.0945053536,42.3301931955
83,83,261635231001018,0.0,-83.09268448569999,42.326459149
84,84,261635231001019,97.0,-83.09501987589998,42.3262054222
85,85,261635231001022,250.0,-83.1031292639,42.327500580700004
86,86,261635231001027,0.0,-83.09803727019998,42.3249220692
87,87,261635231001030,461.0,-83.1004679353,42.3259166229
88,88,261635231001031,0.0,-83.10411290359998,42.3247207273
89,89,261635231001033,0.0,-83.1032948534,42.3237453458
90,90,261635231001035,7.0,-83.1021898666,42.3222267756
91,91,261635231001039,16.0,-83.10889567239998,42.3206514269
92,92,261635231001045,6.0,-83.105339777,42.3209497727
93,93,261635231001049,0.0,-83.11024459099998,42.323895706
94,94,261635231001052,0.0,-83.11197622679998,42.3228130125
95,95,261635231001055,7.0,-83.1113689493,42.3196643177
